FullSampleName,germplasmName,OrigKeyFile,OriginOfSample
TMS15F1099P0004:250465252,TMS15F1099P0004,cassavaGBSkey_20160607,IITA
TMS15F1442P0001:250466842,TMS15F1442P0001,cassavaGBSkey_20160607,IITA
TMS15F1203P0009:250465662,TMS15F1203P0009,cassavaGBSkey_20160607,IITA
TMS15F1230P0005:250465782,TMS15F1230P0005,cassavaGBSkey_20160607,IITA
TMS15F1403P0005:250466642,TMS15F1403P0005,cassavaGBSkey_20160607,IITA
TMS15F1212P0003:250465679,TMS15F1212P0003,cassavaGBSkey_20160607,IITA
TMS15F1310P0019:250467021,TMS15F1310P0019,cassavaGBSkey_20160607,IITA
I000070:250300358,IITA-TMS-IBA000070,cassavaGBSkey_20160607,IITA
TMS15F1103P0006:250465263,TMS15F1103P0006,cassavaGBSkey_20160607,IITA
TMS15F1424P0013:250466805,TMS15F1424P0013,cassavaGBSkey_20160607,IITA
UG15F279P001:250600466,NA,cassavaGBSkey_20160607,NaCRRI
UG15F226P031:250601969,NA,cassavaGBSkey_20160607,NaCRRI
UG15F259P004:250600474,NA,cassavaGBSkey_20160607,NaCRRI
UG15F267P006:250600442,NA,cassavaGBSkey_20160607,NaCRRI
UG15F226P024:250601962,NA,cassavaGBSkey_20160607,NaCRRI
UG15F276P014:250601944,NA,cassavaGBSkey_20160607,NaCRRI
UG15F116P005:250602000,NA,cassavaGBSkey_20160607,NaCRRI
UG15F226P018:250601956,NA,cassavaGBSkey_20160607,NaCRRI
UG15F116P002:250601997,NA,cassavaGBSkey_20160607,NaCRRI
UG15F276P015:250601945,NA,cassavaGBSkey_20160607,NaCRRI
UG15F276P011:250601941,NA,cassavaGBSkey_20160607,NaCRRI
UG15F267P007:250600443,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P024:250601850,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P032:250601864,NA,cassavaGBSkey_20160607,NaCRRI
2013_0053_15:250162223,TMS13F1053P0015,cassavaGBSkey_20160607,IITA
UG15F118P013:250601839,NA,cassavaGBSkey_20160607,NaCRRI
UG15F143P001:250601875,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P039:250601871,NA,cassavaGBSkey_20160607,NaCRRI
UG15F239P048:250601807,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P017:250601841,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P028:250601854,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P011:250601837,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P009:250601835,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P004:250601830,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P030:250601862,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P034:250601858,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P016:250601842,NA,cassavaGBSkey_20160607,NaCRRI
UG15F118P018:250601844,NA,cassavaGBSkey_20160607,NaCRRI
UG15F262P002:250600792,NA,cassavaGBSkey_20160607,NaCRRI
UG15F322P001:250614052,NA,cassavaGBSkey_20160607,NaCRRI
2013_0343_22:250162550,TMS13F1343P0022,cassavaGBSkey_20160607,IITA
TMS15F1461P0009:250475176,TMS15F1461P0009,cassavaGBSkey_20160607,IITA
TMS15F1398P0004:250475203,TMS15F1398P0004,cassavaGBSkey_20160607,IITA
UG15F063P004:250614412,NA,cassavaGBSkey_20160607,NaCRRI
TME7:250399927,TMEB7,cassavaGBSkey_20160607,NRCRI
TMS15F1439P0004:250475220,TMS15F1439P0004,cassavaGBSkey_20160607,IITA
UG15F015P029:250614398,NA,cassavaGBSkey_20160607,NaCRRI
TMS15F1367P0001:250475193,TMS15F1367P0001,cassavaGBSkey_20160607,IITA
UG15F047P004:250614360,NA,cassavaGBSkey_20160607,NaCRRI
UG15F050P001:250614419,NA,cassavaGBSkey_20160607,NaCRRI
TMS15F1370P0011:250475196,TMS15F1370P0011,cassavaGBSkey_20160607,IITA
2013_0160_5:250160400,TMS13F1160P0005,cassavaGBSkey_20160607,IITA
UG15F056P003:250614534,NA,cassavaGBSkey_20160607,NaCRRI
UG15F016P002:250614537,NA,cassavaGBSkey_20160607,NaCRRI
UG15F055P005:250614522,NA,cassavaGBSkey_20160607,NaCRRI
UG15F042P003:250614473,NA,cassavaGBSkey_20160607,NaCRRI
UG15F119P001:250614487,NA,cassavaGBSkey_20160607,NaCRRI
F27R14P01:250591391,NA,NA,NA
UG15F056P001:250614532,NA,cassavaGBSkey_20160607,NaCRRI
F24R26P01:250591424,NA,NA,NA
UG15F056P002:250614533,NA,cassavaGBSkey_20160607,NaCRRI
2013_0153_1:250160342,TMS13F1153P0001,cassavaGBSkey_20160607,IITA
UG15F087P016:250601205,NA,cassavaGBSkey_20160607,NaCRRI
UG15F087P006:250601196,NA,cassavaGBSkey_20160607,NaCRRI
I011368:250099299,IITA-TMS-IBA011368,cassavaGBSkey_20160607,IITA
I30572:250090764,IITA-TMS-IBA30572,cassavaGBSkey_20160607,IITA
I30572:250090764,IITA-TMS-IBA30572(2X),cassavaGBSkey_20160607,IITA
I980505:250090767,IITA-TMS-IBA980505,cassavaGBSkey_20160607,IITA
I982101:250090795,IITA-TMS-IBA982101,cassavaGBSkey_20160607,IITA
I011797:250090770,IITA-TMS-IBA011797,cassavaGBSkey_20160607,IITA
F119P018:250592790,NA,NA,NA
ANKRA:250304548,TMEB693,cassavaGBSkey_20160607,IITA
ANKRA:250304548,ANKRA,cassavaGBSkey_20160607,IITA
UG15F250P008:250600705,NA,cassavaGBSkey_20160607,NaCRRI
UG15F193P010:250613908,NA,cassavaGBSkey_20160607,NaCRRI
UG15F196P010:250613832,NA,cassavaGBSkey_20160607,NaCRRI
UG15F196P020:250613842,NA,cassavaGBSkey_20160607,NaCRRI
F28R2P07:250591534,NA,NA,NA
UG15F250P009:250600706,NA,cassavaGBSkey_20160607,NaCRRI
F28R13P01:250591512,NA,NA,NA
UG15F250P003:250600700,NA,cassavaGBSkey_20160607,NaCRRI
TMS15F1127P0014:250475569,TMS15F1127P0014,cassavaGBSkey_20160607,IITA
F25P001:250589734,NA,NA,NA
TMS15F1132P0013:250475590,TMS15F1132P0013,cassavaGBSkey_20160607,IITA
TMS15F1142P0012:250475597,TMS15F1142P0012,cassavaGBSkey_20160607,IITA
F24P007:250589821,NA,NA,NA
F41P001:250589770,NA,NA,NA
F30P001:250589822,NA,NA,NA
F24P003:250589789,NA,NA,NA
F24P001:250589773,NA,NA,NA
2013_0307_16:250160612,TMS13F1307P0016,cassavaGBSkey_20160607,IITA
TMS15F1148P0006:250475615,TMS15F1148P0006,cassavaGBSkey_20160607,IITA
F44P002:250589810,NA,NA,NA
F23P003:250589765,NA,NA,NA
TMS15F1132P0008:250475586,TMS15F1132P0008,cassavaGBSkey_20160607,IITA
F24P002:250589781,NA,NA,NA
TMS15F1130P0012:250475583,TMS15F1130P0012,cassavaGBSkey_20160607,IITA
TMS15F1127P0002:250475562,TMS15F1127P0002,cassavaGBSkey_20160607,IITA
TMS15F1130P0002:250475578,TMS15F1130P0002,cassavaGBSkey_20160607,IITA
UG15F258P004:250601734,NA,cassavaGBSkey_20160607,NaCRRI
UG15F111P011:250601711,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P005:250601424,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P006:250601425,NA,cassavaGBSkey_20160607,NaCRRI
UG15F025P004:250601448,NA,cassavaGBSkey_20160607,NaCRRI
UG15F025P012:250601456,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P012:250601431,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P018:250601437,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P019:250601438,NA,cassavaGBSkey_20160607,NaCRRI
UG15F304P002:250601478,NA,cassavaGBSkey_20160607,NaCRRI
UG15F304P001:250601477,NA,cassavaGBSkey_20160607,NaCRRI
UG15F306P011:250601430,NA,cassavaGBSkey_20160607,NaCRRI
UG15F326P001:250600580,NA,cassavaGBSkey_20160607,NaCRRI
UG15F278P001:250600541,NA,cassavaGBSkey_20160607,NaCRRI
UG15F289P006:250600611,NA,cassavaGBSkey_20160607,NaCRRI
UG15F251P002:250600596,NA,cassavaGBSkey_20160607,NaCRRI
UG15F163P002:250600533,NA,cassavaGBSkey_20160607,NaCRRI
UG15F251P005:250600600,NA,cassavaGBSkey_20160607,NaCRRI
F12R27P05:250593607,NA,NA,NA
TME419:250107827,TMEB419,cassavaGBSkey_20160607,NRCRI
TME419:250107827,TME419,cassavaGBSkey_20160607,NRCRI
UG15F196P006:250602398,NA,cassavaGBSkey_20160607,NaCRRI
UG15F185P004:250602372,NA,cassavaGBSkey_20160607,NaCRRI
UG15F127P004:250602193,NA,cassavaGBSkey_20160607,NaCRRI
UG15F028P003:250602393,NA,cassavaGBSkey_20160607,NaCRRI
UG15F196P003:250602395,NA,cassavaGBSkey_20160607,NaCRRI
UG15F196P007:250602399,NA,cassavaGBSkey_20160607,NaCRRI
UG15F158P003:250601628,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P001:250601562,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P009:250601570,NA,cassavaGBSkey_20160607,NaCRRI
UG15F079P014:250601561,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P015:250601576,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P002:250601563,NA,cassavaGBSkey_20160607,NaCRRI
UG15F158P008:250601633,NA,cassavaGBSkey_20160607,NaCRRI
UG15F203P006:250602118,NA,cassavaGBSkey_20160607,NaCRRI
UG15F311P001:250602123,NA,cassavaGBSkey_20160607,NaCRRI
UG15F158P012:250601637,NA,cassavaGBSkey_20160607,NaCRRI
UG15F311P003:250602125,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P014:250601575,NA,cassavaGBSkey_20160607,NaCRRI
UG15F158P009:250601634,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P012:250601573,NA,cassavaGBSkey_20160607,NaCRRI
UG15F117P016:250601577,NA,cassavaGBSkey_20160607,NaCRRI
UG15F276P008:250601624,NA,cassavaGBSkey_20160607,NaCRRI
UG15F079P013:250601560,NA,cassavaGBSkey_20160607,NaCRRI
UG15F203P005:250602117,NA,cassavaGBSkey_20160607,NaCRRI
2013_10020_1:250164714,TMS13F1020P0001,cassavaGBSkey_20160607,IITA
2013_20110_8:250164899,TMS13F2110P0008,cassavaGBSkey_20160607,IITA
I090516:250099187,IITA-TMS-IBA090516,cassavaGBSkey_20160607,IITA
I980581:250099215,IITA-TMS-IBA980581,cassavaGBSkey_20160607,IITA
F118P008:250590057,NA,NA,NA
TMS15F1156P0006:250518949,TMS15F1156P0006,cassavaGBSkey_20160607,IITA
TMS15F1159P0001:250518960,TMS15F1159P0001,cassavaGBSkey_20160607,IITA
TMS15F1154P0002:250518934,TMS15F1154P0002,cassavaGBSkey_20160607,IITA
TMS15F1302P0027:250476693,TMS15F1302P0027,cassavaGBSkey_20160607,IITA
TMS15F1305P0022:250476699,TMS15F1305P0022,cassavaGBSkey_20160607,IITA
TMS15F1295P0010:250476684,TMS15F1295P0010,cassavaGBSkey_20160607,IITA
TMS15F1158P0001:250518958,TMS15F1158P0001,cassavaGBSkey_20160607,IITA
TMS15F1160P0010:250518971,TMS15F1160P0010,cassavaGBSkey_20160607,IITA
TMS15F1305P0021:250476698,TMS15F1305P0021,cassavaGBSkey_20160607,IITA
TMS15F1324P0004:250476746,TMS15F1324P0004,cassavaGBSkey_20160607,IITA
TMS15F1154P0015:250518942,TMS15F1154P0015,cassavaGBSkey_20160607,IITA
TMS15F1300P0002:250476689,TMS15F1300P0002,cassavaGBSkey_20160607,IITA
TMS15F1318P0022:250476734,TMS15F1318P0022,cassavaGBSkey_20160607,IITA
TMS15F1160P0004:250518965,TMS15F1160P0004,cassavaGBSkey_20160607,IITA
TMS15F1159P0004:250518962,TMS15F1159P0004,cassavaGBSkey_20160607,IITA
TMS15F1156P0001:250518945,TMS15F1156P0001,cassavaGBSkey_20160607,IITA
TMS15F1300P0001:250476688,TMS15F1300P0001,cassavaGBSkey_20160607,IITA
TMS15F1152P0007:250518902,TMS15F1152P0007,cassavaGBSkey_20160607,IITA
TMS15F1351P0014:250476760,TMS15F1351P0014,cassavaGBSkey_20160607,IITA
TMS15F1295P0008:250476682,TMS15F1295P0008,cassavaGBSkey_20160607,IITA
UG15F031P001:250601001,NA,cassavaGBSkey_20160607,NaCRRI
TMS15F1318P0024:250476735,TMS15F1318P0024,cassavaGBSkey_20160607,IITA
TMS15F1307P0001:250476703,TMS15F1307P0001,cassavaGBSkey_20160607,IITA
TMS15F1295P0018:250476687,TMS15F1295P0018,cassavaGBSkey_20160607,IITA
TMS15F1156P0014:250518954,TMS15F1156P0014,cassavaGBSkey_20160607,IITA
TMS15F1153P0047:250518932,TMS15F1153P0047,cassavaGBSkey_20160607,IITA
TMS15F1072P0018:250521120,TMS15F1072P0018,cassavaGBSkey_20160607,IITA
TMS15F1080P0012:250521139,TMS15F1080P0012,cassavaGBSkey_20160607,IITA
TMS15F1072P0012:250521118,TMS15F1072P0012,cassavaGBSkey_20160607,IITA
TMS15F1077P0027:250521129,TMS15F1077P0027,cassavaGBSkey_20160607,IITA
TMS15F1072P0006:250521114,TMS15F1072P0006,cassavaGBSkey_20160607,IITA
TMS15F1072P0031:250521122,TMS15F1072P0031,cassavaGBSkey_20160607,IITA
TMS15F1004P0001:250521063,TMS15F1004P0001,cassavaGBSkey_20160607,IITA
TMS15F1080P0007:250521135,TMS15F1080P0007,cassavaGBSkey_20160607,IITA
TMS15F1081P0003:250521142,TMS15F1081P0003,cassavaGBSkey_20160607,IITA
F1P032:250589672,NA,NA,NA
F1P039:250589633,NA,NA,NA
UG15F325P007:250614163,NA,cassavaGBSkey_20160607,NaCRRI
F4P007:250589645,NA,NA,NA
UG15F135P011:250614110,NA,cassavaGBSkey_20160607,NaCRRI
UG15F135P005:250614104,NA,cassavaGBSkey_20160607,NaCRRI
UG15F061P006:250614097,NA,cassavaGBSkey_20160607,NaCRRI
F1P018:250589655,NA,NA,NA
F3P017:250589698,NA,NA,NA
F4P002:250589700,NA,NA,NA
F3P034:250589644,NA,NA,NA
UG15F069P006:250614643,NA,cassavaGBSkey_20160607,NaCRRI
UG15F073P003:250614626,NA,cassavaGBSkey_20160607,NaCRRI
UG15F069P004:250614641,NA,cassavaGBSkey_20160607,NaCRRI
UG15F020P005:250614681,NA,cassavaGBSkey_20160607,NaCRRI
UG15F020P001:250614677,NA,cassavaGBSkey_20160607,NaCRRI
UG15F074P001:250614623,NA,cassavaGBSkey_20160607,NaCRRI
UG15F069P002:250614639,NA,cassavaGBSkey_20160607,NaCRRI
UG15F426P002:250614649,NA,cassavaGBSkey_20160607,NaCRRI
UG15F069P003:250614640,NA,cassavaGBSkey_20160607,NaCRRI
UG15F076P001:250614617,NA,cassavaGBSkey_20160607,NaCRRI
UG15F276P005:250601125,NA,cassavaGBSkey_20160607,NaCRRI
UG15F276P001:250601121,NA,cassavaGBSkey_20160607,NaCRRI
TMS15F1177P0004:250476294,TMS15F1177P0004,cassavaGBSkey_20160607,IITA
UG15F031P021:250601100,NA,cassavaGBSkey_20160607,NaCRRI
F184C1bP001:CA7RRANXX:6:500078,NA,NA,NA
